"Rentrée","Etudiants","Enseignants","Taux.d.encadrement","Enseignants.idéal.delta","Enseignants.réel.delta"
"2010",1003975,42477,4.23088224308374,0,0
"2011",1121175,48497,4.3255513189288,-1061,6020
"2012",1131557,48537,4.28939947346886,-662,6060
"2013",1201963,50622,4.21161050714539,232,8145
"2014",1263570,52332,4.14159880339039,1128,9855
"2015",1341093,54162,4.03864608942109,2578,11685
"2016",1382492,55443,4.01036678693258,3049,12966
"2017",1515033,59660,3.93786802003653,4439,17183
"2018",1543377,59711,3.86885381860686,5587,17234
"2019",1719168,61575,3.58167439133348,11161,19098
